yil,toplam_arge_mr_usd,arge_gsyih_pct,arge_personeli_tze,savunma_arge_m_usd,savunma_arge_toplam_arge_pct,arge_merkezi_sayisi,tahmini,kaynak
2002,1.2,0.47,28964,49,4.1,,0,TUBITAK
2005,2.8,0.58,50000,160,5.7,,1,TUBITAK~
2008,5.1,0.72,68000,228,4.5,300,1,TUBITAK~
2010,7.2,0.84,82000,666,9.2,400,1,TUBITAK~
2013,9.5,0.95,105000,900,9.5,600,1,TUBITAK~
2015,11.2,1.02,118000,1100,9.8,700,1,TUBITAK~
2018,13.5,1.03,154000,1450,10.7,1000,1,TUBITAK~
2020,15.4,1.09,196000,1800,11.7,1300,1,TUBITAK
2021,18.0,1.4,223000,1900,10.6,1484,0,TUBITAK
2022,18.5,1.4,250000,2061,11.1,1600,1,TUBITAK~
2023,16.1,1.42,290850,2622,16.3,1700,0,TUBITAK/SASAD
2024,,,,3415,,,1,SSB
