yil,toplam_istihdam,muhendis_uzman,teknisyen_operatör,idari_destek,yonetici,muhendis_pct,teknisyen_pct,idari_pct,tahmini,kaynak
2008,17841,,,,,,,,1,TOBB
2012,33491,,,,,,,,1,SASAD
2013,36000,,,,,,,,1,~
2014,42000,,,,,,,,1,~
2015,48000,,,,,,,,1,~
2016,52000,,,,,,,,1,~
2017,44740,,,,,,,,1,SASAD
2018,67239,17000,33000,17000,239,25.3,49.1,25.6,1,SASAD~
2019,73771,18500,36000,18771,500,25.1,48.8,26.1,1,SASAD~
2020,77566,19200,38000,19866,500,24.8,49.0,26.3,0,SASAD
2021,75060,18500,36800,19260,500,24.6,49.0,26.3,0,SASAD
2022,81132,23349,36095,21177,511,28.8,44.5,26.7,0,SASAD
2023,90969,35478,40936,14555,,39.0,45.0,16.0,0,SASAD
2024,100000,,,,,,,,1,SSB~
