Üniversite,Bölüm,Program Kodu,Öğrenim Dili,Yıl,Puan Türü,Kontenjan,Taban Puan,Başarı Sırası
ODTÜ,Havacılık ve Uzay Mühendisliği,108410381,İngilizce,2015,MF-4,77,460.184,
ODTÜ,Havacılık ve Uzay Mühendisliği,108410381,İngilizce,2020,SAY,90,518.088,6423
ODTÜ,Havacılık ve Uzay Mühendisliği,108410381,İngilizce,2021,SAY,93,468.185,6134
ODTÜ,Havacılık ve Uzay Mühendisliği,108410381,İngilizce,2022,SAY,88,524.168,5000
ODTÜ,Havacılık ve Uzay Mühendisliği,108410381,İngilizce,2023,SAY,77,532.498,3366
ODTÜ,Havacılık ve Uzay Mühendisliği,108410381,İngilizce,2024,SAY,72,527.109,2792
ODTÜ,Havacılık ve Uzay Mühendisliği,108410381,İngilizce,2025,SAY,70,,
ODTÜ,Makine Mühendisliği,108410433,İngilizce,2014,MF-4,195,481.13,6890
ODTÜ,Makine Mühendisliği,108410433,İngilizce,2015,MF-4,185,468.13,6016
ODTÜ,Makine Mühendisliği,108410433,İngilizce,2016,MF-4,195,492.176,6340
ODTÜ,Makine Mühendisliği,108410433,İngilizce,2017,MF-4,195,485.055,5868
ODTÜ,Makine Mühendisliği,108410433,İngilizce,2018,SAY,195,503.229,5126
ODTÜ,Makine Mühendisliği,108410433,İngilizce,2019,SAY,195,505.673,5435
ODTÜ,Makine Mühendisliği,108410433,İngilizce,2020,SAY,195,517.032,6862
ODTÜ,Makine Mühendisliği,108410433,İngilizce,2021,SAY,195,464.886,6984
ODTÜ,Makine Mühendisliği,108410433,İngilizce,2022,SAY,185,520.866,6321
ODTÜ,Makine Mühendisliği,108410433,İngilizce,2023,SAY,154,527.946,4832
ODTÜ,Makine Mühendisliği,108410433,İngilizce,2024,SAY,123,522.83,3659
ODTÜ,Makine Mühendisliği,108410433,İngilizce,2025,SAY,120,,
ODTÜ,Elektrik-Elektronik Mühendisliği,108410354,İngilizce,2016,MF-4,200,512.489,2400
ODTÜ,Elektrik-Elektronik Mühendisliği,108410354,İngilizce,2017,MF-4,200,506.412,2306
ODTÜ,Elektrik-Elektronik Mühendisliği,108410354,İngilizce,2018,SAY,200,518.965,2267
ODTÜ,Elektrik-Elektronik Mühendisliği,108410354,İngilizce,2019,SAY,200,521.446,2214
ODTÜ,Elektrik-Elektronik Mühendisliği,108410354,İngilizce,2020,SAY,200,531.082,2575
ODTÜ,Elektrik-Elektronik Mühendisliği,108410354,İngilizce,2021,SAY,200,488.87,2505
ODTÜ,Elektrik-Elektronik Mühendisliği,108410354,İngilizce,2022,SAY,200,534.314,2094
ODTÜ,Elektrik-Elektronik Mühendisliği,108410354,İngilizce,2023,SAY,185,538.044,1913
ODTÜ,Elektrik-Elektronik Mühendisliği,108410354,İngilizce,2024,SAY,175,534.411,1603
